Name,Rank,Team,TeamShort,MLBid,Birthday,Height,Weight,HitThrow,Year.Drafted,RoundorIFA,Aquired,RuleV,Position,Highest.Level,Evaluator,OFP,Role,OFPRole,Role.D,Risk,ETA,Tools,FB,CT,CB,SL,CH,SLV,SPL,FK,KN,SCR,PLM,Control,Command,ContCom,Hit,Power,Field,Arm,Run,Phy.D,Overall.D,Hit.D,Pow.D,Field.D,Arm.D,Run.D,FB.D,CT.D,CB.D,SL.D,CH.D,SLV.D,SPL.D,FK.D,KN.D,SCR.D,PLM.D,Mech.D,ContCom.D,Video1,Video2,Video3,Video4,HeadshotURL
Cal Raleigh,11,Seattle Mariners,SEA,663728,11/26/1996,6-3,215,B/R,2018,Draft - Round 3,2018 Draft - Round 3,2022,C,AA,Nick Stillman,45,40,45 OFP 40 Role,Below Avg. Role Player,Moderate,2022,40Hit 55Power 50Field 45Arm 40Run,,,,,,,,,,,,,,,40,55,50,45,40,"Big bodied, thick, country-boy frame with sloping shoulders and a large lower half. Strong arms and quick wrists without much muscle definition. Relaxed and smooth motions, not explosive but easy actions and a slow heartbeat. Could still pack strength in upper half.","Cal is a big bodied athlete with great hands, big power, and the leadership qualities teams look for in a catcher. His hit tool and arm hold him back from the next tier of catching prospects, but the power, patience, framing, and intangibles will carry him to the big leagues and likely a role as an MLB regular. If the hit tool doesn't develop, he profiles as a back-up or an up-and-down guy.","Switch-hitter with the tool at fringe average on both sides of the plate. Stands straight up in the box, rolls hands at the ear, modest step with good weight transfer and an uppercut swing. Swings hard to produce average to above bat speed, power coming from legs. Has good command of the strike zone. Current swing has some loop that allows him to elevate pitches low in the zone, but struggles against good velo, particularly at the top. Tendency to swing under balls, resulting in popups. Could improve with more reps and a lower set position that would create less movement through his swing. Likely tops out at an average hit tool","Strong with above average raw power. His upper cut swing combined with a solid approach allows him to get to it in games. Uses lower body to get power to pull side with good hip separation, but has the strength to hit the ball out the other way and up the middle. Great sound coming off the bat, pure strength to tap into more as he develops at the plate.","A former high school infielder, Raleigh has soft, quick hands that allow him to be a plus framer low in the zone with subtle glove movements and noticeably smooth motions. Big strides made defensively in 2019, owing in part to resting on one knee to gain stability. Glowing reports on his attitude, work ethic, and rapport with pitchers; a confident leader in the clubhouse. Can get sloppy with footwork on pitches in the dirt, but defense has been the largest improvement since the draft, indicating his coachability and drive.","Fringe average arm, clocked pop time between 1.95-2.03. Quick exchange, average footwork, and average arm strength. Struggled to throw out runners in 2019, accuracy of throws a larger issue than pure arm strength or exchange. Has raw tools to improve here, but footwork and average arm will limit him.","Runs a bit choppy like his build would indicate; not lumbering or explosive, clocked at ~4.35 time to first. Can pick up some speed once he has momentum, leading to a quicker 1st to 3rd than up the line. Fringe average speed now, anticipating below average as he ages.",,,,,,,,,,,,,,,,,,http://www.milb.com/images/663728/generic/180x270/663728.jpg
Zach Deloach,12,Seattle Mariners,SEA,676113,8/18/1998,6-1,205,L/R,2020,Draft - Round 2,2020 Draft - Round 2,2024,OF,R,Isaiah Burrows,45,40,45 OFP 40 Role,Below Avg. Role Player,High,2023,50Hit 45Power 50Field 50Arm 55Run,,,,,,,,,,,,,,,50,45,50,50,55,Solidly built 6'1 210 frame that consists of solely good weight. Strong lower half. Deloach moves well when he gets underway but can struggle with his first step. Fairly mature body that will likely require a sacrifice of speed to add strength.,"Deloach stands out for his overall, across the board skillset than any one tool. Currently, Deloach is average or better across the board with no true plus tools. That said, he has consistently been trending upwards and I wouldn't be shocked to see each tool tick up a half-grade. There is a good chance we haven't seen Delaoch's best baseball yet and he receives rave reviews for his work ethic and off the field drive to improve. For now, he profiles as a starting corner outfielder and #2 type hitter.","Switched from a high leg kick to a toe-tap approach in summer of 2019 with great success. Deloach rocks back a simple toe-tap before sliding his momentum forward. Incredibly quiet hands/wrists until he unleashes his swing. Hips stand out. Syncs his movements well and can really explode when he commits. Simple, fairly compact swing that has added some natural loft over the last year and should lead to consistent contact. Patience and vision stand out as plus tools. Controls the strike zone well, waits on his pitch and looks to drive the ball in his counts. Can get caught playing cricket on low and outside spin on occasions. Has bouts of defensive swings when he falls behind in counts. Is at his best when he fully commits and turns his hips loose. Overall a nice combination of contact, approach and the basis for quality contact. Above average tool that will flash plus but isn't quite there yet.","Deloach is fairly short and compact to the ball, but has an optimized bat path geared towards consistent, lofted contact. Deloach will have bouts of defensive swings but has trended towards swinging with intent over the 2020 season. Deloach's swing allows him to get extended well out in front and his patient approach allows him to see many favorable counts. Hips look explosive to me and he syncs everything up well, flashing plus bat and hand speeds. After just 5 HR over 118 college games in 2018/2019, Deloach has shown both wood bat power in the cape and hit 6 HR in just 18 games with a metal bat in 2020. Easy average power that could trend towards above average and should play up in games due to his approach and bat path","Fairly average across the board here. Deloach moves well underway in the outfield but is held back by a mediocre first-step and non-optimal routes. His natural speed gives him an outside shot at center, but he would need to improve his instincts significantly to stick there. He currently projects as a rangy but slightly erratic corner outfielder, with right field as a likely destination.","Deloach's arm is average to a tick above. He has decent carry and is fairly consistent with his angles. Arm strength has flashed above average in 2020 but over a limited sample size. Enough here to play at all three outfield positions, but not a plus tool.","Deloach was a rare case of adding speed as he added weight. Bulked up to 210, Deloach has begun to flash legitimate plus run times in 2020. Right now, his long speed plays above his short area quickness, causing me to be a bit more conservative with his run grade in a baseball environment. That said, the man certainly moves well and if the team can improve his first step, he could really improve as a base stealing threat and in the outfield.",,,,,,,,,,,,,,,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Isaiah Campbell,13,Seattle Mariners,SEA,663462,8/15/1997,6-4,230,R/R,2019,Draft - Round 2,2019 Draft - Round 2,2023,RHP,R,Isaiah Burrows,45,40,45 OFP 40 Role,#4/5 Backend SP,Moderate,2022,55FB 40CB 55SL 45SPL 55Control 50Command,55,,40,55,,,45,,,,,55,50,55/50,,,,,,"Tall and solid build. Intimidating presence on the mound with rounded shoulders and sturdy lower half. Long wingspan, uses his strong frame to generate velocity. Sturdy upper and lower half, which stands out due to his size. Competitive and driven, shows some body language when getting out of a jam. Has good poise and shows it after two-out strikeouts, may skip off the mound and head towards the dugout with authority.","Solid build with an ability to attack the strike zone. His stuff lacks velocity, but his command and control gives him a reliable floor. He has a competitive edge,, and he can be a backend big league starter if his off-speed pitches continue to improve.",,,,,,"Typically sits in the low-90s with a solid downhill plane to force whiffs. Has confidence with it in any count, but mixes it well. Commands the fastball well, hits his spot consistently. Long arm action helps create more ""zip"" and it can catch the outside corner for called strikes. Also rises up in the zone to force a swing-and-miss. Solid plus-pitch with a good downhill plane.",,"Mid-70s offering that isn't thrown much. Lacks break and depth to the pitch, needs some fine tuning and improvement. Hangs in the zone for much too long at times. Shows quality velocity, but lacks snap and zip to make it a solid third offering at times. Has shown flashes of being a plus pitch, but not much consistency thus far.","Low-80s offering with solid break and spin, almost disguised as a cutter. Hard to distinguish the pitch at times due to its late life. Effective strikeout pitch in two-strike counts. Has the confidence to throw it with runners on. Good movement and depth, which plays well as his primary off-speed pitch. Catches too much of the plate at times, left it ""hanging"" in the zone at Arkansas. Overall, good secondary offering with good break and movement.",,,"Mid-to-high 80s offering that plays well with his fastball. Limited use and still new. Hasn't thrown it much in any count, but shows late drop in the zone for whiffs. Has a bit of late life to keep batters off guard with the fastball. Splitter offers a distinct change to his off-speed pitches. More improvement and confidence can make it a solid third pitch.",,,,,"Long and loose arm action that plays within his arsenal. Good extension on pitches with solid follow through. No stress points on elbow/shoulder/arm within release. May rush throws/off line from the stretch as his release gets quicker. Three-quarter arm slot delivery that he repeats well, several well-thrown strikes. Little effort in his release and has a clean delivery. Quicker delivery from the stretch. Simple and effective. Looks more comfortable from the windup, delivery chokes up in the stretch at times.","Excellent control and command with several quality strikes. Commands fastball well on both sides of the plate. Slider plays well against righties. Repeats his delivery well and picks his spots from the windup and the stretch. Advanced K/BB ratio in college could translate to pros. Not eye-popping stuff for velocity, but command and control play well to his advantage. Great strike thrower.",,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Levi Stoudt,14,Seattle Mariners,SEA,686651,12/4/1997,6-1,185,R-R,2019,Draft - Round 3,2019 Draft - Round 3,2023,RHP,R,Joe Doyle,45,40,45 OFP 40 Role,#4/5 Backend SP,Moderate,2023,55FB 55CB 50SL 60CH 45Control 45Command,55,,55,50,60,,,,,,,45,45,45/45,,,,,,"Sturdy, strong with well-proportioned whippy arms. Wide shoulder frame with more room to grow in his core. Lower body strength present with plenty of upper body strength in the shoulders.","Stoudt figures to be a late inning reliever with the full assortment of pitches, including an overpowering fastball that's really growing. Curveball is best secondary and could get to plus with a little more added velo. Probably not a closer, but not a low leverage arm either.",,,,,,Fastball has really taken a big step forward in last year. Now 93-96/97 with plenty of ride up in the zone. Not a lot of run or cut. Spots the fastball with consistency in short appearances.,,"True power curveball with immense depth and late bite. 12-6 shape with tunnel characteristics off the fastball. High spin offering should continue to improve, especially as velo gains continue. Currently 81-83.",Shows depth and horizontal tilt. Good command. Can get stiff when thrown too firm. 85-88. Average offering.,"Big armspeed and tumble present. Big separation off the fastball. Shows a ton of depth and some fade. Thrown with total conviction and a ton of strikes. Easy plus, maybe more.",,,,,,,"Conventional over-the-top delivery with good extension in drop and drive operation. Really gets down hill. Super easy, free delivery with quick arm. Good lead leg block. Fastball has really taken a big step forward in last year. Now 93-96/97 with plenty of ride up in the zone. Not a lot of run or cut. Spots the fastball with consistency in short appearances.",Solid control and command for a prep arm. Typically locates his curveball better than his fastball. Curveball breaks well out of the zone. Fastball command will be critical in future role.,,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Joey Gerber,15,Seattle Mariners,SEA,680702,5/3/1997,6-4,215,R/R,2018,Draft - Round 8,2018 Draft - Round 8,On 40-man,RHP,MLB,Joe Doyle,45,40,45 OFP 40 Role,Low Leverage Relief,Low,2020,55FB 55SL 50Control 50Command,55,,,55,,,,,,,,50,50,50/50,,,,,,"Strong, sturdy pitcher with most of his strength/mass coming from his lower half. Sloping shoulders with strength in upper body though lacking definition.","At his best, Gerber has shown the ability to work in a fringe-high leverage role with dynamic velocity and break on his slider. The deception is a nice luxury in keeping hitters off-balance and late, but he'll need to focus on creating life on the fastball and consistency in the slider.",,,,,,93-96/t98 with signs of armside run and sink. Too often the fastball is too straight and hittable. Needs to focus on arm-side run in delivery. Fastball is straight and finds a barrels at 93-94. At it's best the fastball is 95-96/98 with late movement and deception.,,,"83-86 with late, tight break. Can sometimes meld into a cutter with some vertical break. Young pitcher who's still finding feels for optimized breaking ball. At it's best, slider has aggressive horizontal approach angle with late sweep and depth. Can get straight and broadcast at times.",,,,,,,,"Unorthodox, short-arm action that includes a ton of deception. Very herky jerky. Tempo will be very important keeping his lower half and shoulder in in tandem. Potential for extra perceived velocity thanks to release slot and mechanics.","Tempo is the biggest thing in his delivery. When he's right, the stuff is overpowering and has shown late-inning, high leverage ability. At worst, the control fades and walks and barrels become an issue. Fastball has shown better control than breaking stuff.",,,,,http://www.milb.com/images/680702/generic/180x270/680702.jpg
Connor Phillips,16,Seattle Mariners,SEA,683175,5/4/2001,6-2,190,R/R,2020,Draft - Round 2,2020 Draft - Round 2,2024,RHP,R,Isaiah Burrows,40,40,40 OFP 40 Role,Spot Starter,High,2024,60FB 55CB 45CH 40Control 40Command,60,,55,,45,,,,,,,40,40,40/40,,,,,,"Tall and lanky right-hander with long, loose arms and legs. More room for added growth and muscle to his frame. Broad shoulders, wide hips and big feet. Room to fill out as he gets stronger. Frame has length with room for continued development. Raw physical profile, has intriguing tools that could be built upon.","Connor Phillips has the raw, tantalizing stuff in his repertoire to make him the 64th overall pick by Seattle in 2020. He has a good profile to add more size to his frame. His fastball and curveball are plus offerings that attack batters, but his shortened delivery raises concerns about his control and command. If he incorporates his lower half more into his throwing motion, Phillips has the raw ability to make the most of his velocity-packed arsenal.",,,,,,"Low-to-mid-90s offering that has touched 98 mph on occasion. Typically sits between 92-94 mph. Throws it above the zone to force whiffs. Good late life that attacks the hands of righties. Velocity stays consistent with potential to reach triple digits. Shortened, over-the-top delivery makes it explode to the plate. Solid, plus-pitch with more room to grow.",,"High-70s power breaking ball with good spin and downward break. Sharp break, power curve that drops out of the zone when at its best. Has a tendency to leave his curve over the plate, opposing batters barrel it. Good depth to the pitch as a whole, nice secondary offering to his velocity-packed fastball.",,"Low-80s offering to decipher his fastball. Good arm speed, but changeup lacks much deception and fade for swings and misses. A bit flat at times, has a tendency to leave it high up in the zone. Needs more development, but shows flashes of a solid third pitch.",,,,,,,"Short and quick arm action, a bit twitchy at times. Right elbow sticks out a bit midway through each pitch. Arm action gets even quicker from the stretch. Creates some zip, good torque and engagement throughout his core to generate velocity. Shortened three-quarter slot. Repeated and consistent, over-the-top to get some downward plane. Has the look of a high-effort delivery at times. Very little use of his lower half, all upper-body strength and core at the moment. Legs seem stiff in his windup, virtually non-existent in the stretch. Utilizing more of his lower half is something to keep an eye on.","All stuff at the moment, not much command or control. A bit wild in the stretch, fastballs sail upwards and curveball bounces in the dirt on occasion. Twitchy delivery makes his upper-body do all the work, and he needs to incorporate his lower half to improve command. Dots his fastball on the corners, but remains inconsistent. Must improve on the quality of his strikes, many pitches soak up too much of the plate. Control and command can improve once his mechanics straighten out.",,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Austin Shenton,17,Seattle Mariners,SEA,668853,1/28/1998,6-0,205,L/R,2018,Draft - Round 5,2018 Draft - Round 5,2022,3B,A,Isaiah Burrows,40,40,40 OFP 40 Role,Below Avg. Role Player,Moderate,2023,50Hit 45Power 45Field 50Arm 40Run,,,,,,,,,,,,,,,50,45,45,50,40,"Shorter, stout stature. Large upper body with big arms, wide shoulders and wide hips. Sturdy build with good strength throughout his body. More muscle can be added to his lower half. Open and fluid left-handed stance. Hands stay connected through the ball. Lower half is present within his swing, good leg kick and well balanced approach. Body stays in control throughout each pitch. Consistent open stance that plays well to his ability.","Selected in the fifth round by the Mariners in 2019, Austin Shenton's smooth left-handed stroke continues to improve in the minors. He makes solid contact to all fields and has a sound approach at the plate, though little power will translate to the next level. His lack of speed and athleticism limits his defensive capabilities and his aggressiveness on the basepaths. With more work defensively, Shenton's offensive profile can potentially help him reach the big leagues. Shown the work ethic to improve defensively. Well-liked person in every corner.","Above-average hit tool with solid contact to all fields. Has a good knack for the zone, takes off-speed pitches back up the middle. Hanging fastballs lined the other way for base hits. Good approach and patience at the plate. Hands and lower half stay connected to get a good piece of the ball.","Very little power present to clear fences, more gap-to-gap and contact-oriented hitter. Fails to get the ball up in the air consistently. Good contact, but power hasn't translated thus far. When he does tap into power, tends to go more pull-side.","Lack of athleticism makes him an inconsistent defender at third base. Doesn't have much range or beat to the ball. Hard-hit grounders get past him. May not stick at third base long term, could experiment with left field due to his defensive struggles. Iffy defensive fit, but could progress with more practice and development.","Average arm strength from third to first base. Solid accuracy to nab baserunners. Good timing on throws, takes the time when necessary to make the right play. Ball lacks the zip in tough situations. Arm strength has improved, shown more confidence and growth last season.","Below-average speed and athleticism on the basepaths. Not a base stealing threat, doesn't get a good jump on the ball. Bulky physical frame limits his top-end speed. Shows flashes of quick strides and bursts to reach base, but lacks speed to stretch for extras",,,,,,,,,,,,,,,,,,http://www.milb.com/images/668853/generic/180x270/668853.jpg
Brayan Perez,18,Seattle Mariners,SEA,677644,9/5/2000,6-0,190,L/L,2017,IFA,2017 IFA,2022,LHP,R,Isaiah Burrows,40,40,40 OFP 40 Role,Long Relief,High,2022,45FB 55CB 50SL 40CH 55Control 50Command,45,,55,50,40,,,,,,,55,50,55/50,,,,,,"Short, big-bodied frame. Room for muscle. Loose arm and long legs with a large upper body. Upper half more developed than lower half. Physical maturity remains, continued room for development at his age.","Signing with the Mariners as an international free agent in 2017-18, lefty Brayan Perez has made subtle improvements for his age. He showed signs of growth in his first season of pro ball last year, and his stuff continues to improve. His fastball has late life coupled with his plus curveball with good depth and break. What Perez lacks for in velocity, he makes up for with command and solid mechanics. As he continues to grow into his body, Perez's stuff can increase in velocity to make him more effective in longer stints.",,,,,,"Low-90s offering with good ride and life. Attacks batters inside with its cutter-esque movement. Velocity has dipped to the high-80s in appearances, but reaches 90-91 in shorter stints. Added velocity and movement can make it more effective.",,"Low-to-mid-70s pitch with good depth. Good spin rate with a late bite. Throws it with confidence against lefties/righties. More effective against lefties, breaks outside. Plus offering, looks to be his reliable off-speed pitch. Needs more velo at next level.","Low-80s offering with good horizontal break. Development still behind his curveball, but throws it with confidence. Good dive at the end to force swings and misses. Thrown flat at times, left hanging at the letters for batters to barrel. Needs more refinement.","Still working on using changeup as fourth pitch. Rarely thrown, but has some separation. Needs more reps and improvement to be a consistent pitch in his arsenal.",,,,,,,"Quick and fluid arm action. Has good extension and follow through on each pitch. Ball comes out of his hand in one smooth motion. No stress points on arm/elbow/shoulder. Shortened three-quarter slot delivery that repeats well. Consistent and effective, throws strikes. Makes the most of his arsenal with clean delivery and mechanics. Looks comfortable from the windup and stretch, delivery is consistent.","Above-average command and control for his age. Hits the outside corner with the fastball, sets up off-speed for strikeouts. Throws with confidence, repeatable mechanics help him attack the zone. Good feel for his fastball, curveball and slider. Does a good job of placing inside on righties for called strikes.",,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Jake Fraley,19,Seattle Mariners,SEA,641584,5/25/1995,6-0,195,L/L,2016,"Draft - Round CBB, TB","2016 Draft - Round CBB, TB",On 40-man,OF,MLB,Isaiah Burrows,40,40,40 OFP 40 Role,Below Avg. Role Player,Low,2020,50Hit 45Power 50Field 40Arm 55Run,,,,,,,,,,,,,,,50,45,50,40,55,"Short in height, but has a filled-out frame. Well rounded shoulders and solid upper body strength. Upper half more developed than lower half. Sturdy build with large arms and solid physical profile. Twitchy athlete. Durability has been a major concern. Slightly open stance, legs are hips length apart. Hands and arms stay low and crouched in the box. Minor leg kick within load. Short and compact. Head stays down through contact. Swing can get long and bat path is inconsistent. Struggles with pitch on inner-half.","Jake Fraley has the makings of a good center fielder with his contact skills and above average speed. He tinkered with his swing this past season to get the ball up in the air more, and it translated to more power at the plate. Fraley still struggles with strikeouts, and he hasn't strung together much consistently with the Mariners in 66 at-bats over two seasons. Durability is a concern. Regardless, Fraley has the opportunity to be a fourth outfield option if he continues to improve offensively.","Left-handed hit tool that makes good contact to all fields. Takes line drives up the middle. Smooth and consistent approach, hits hard liners pull-side. Makes an effort to fight off pitches to stay in the count. Tends to overswing and misses.","Showed more glimpses of power with swing adjustments. Stayed more on his back foot. Made it a habit to get the ball up in the air more, hard hit doubles and homers. Impacts the ball on occasion. Doesn't sell out for power, focused on making solid contact. Room for improvement.",Above-average fielder with good speed and coverage. Makes good routes to the ball. Covers a large amount of ground. Has the instincts to make the right play consistently.,"Below-average arm in the outfield. Ball lacks velocity to make consistent throws. Opposing runners advance, often hitting the cut-off man. Timing and accuracy is still a bit off, but has shown signs of improvement. Needs to work on consistent reps and accurate throws.","Above average runner with speed and quickness. Good burst out of the box with tremendous hustle.. Speed translates to the basepaths, constant threat to steal a bag. Gets to top-end speed quickly, good acceleration. Makes the most of his athleticism. Utilizes his speed offensively and defensively.",,,,,,,,,,,,,,,,,,http://www.milb.com/images/641584/generic/180x270/641584.jpg
Jonatan Clase,20,Seattle Mariners,SEA,682729,5/23/2002,5-7,165,L/R,2018,IFA,2018 IFA,2023,OF,DSL,Isaiah Burrows,40,40,40 OFP 40 Role,Below Avg. Role Player,Extreme,2024,55Hit 30Power 50Field 40Arm 60Run,,,,,,,,,,,,,,,55,30,50,40,60,"Small in height, but has a muscular and built frame throughout. Very filled out with broad shoulders and large biceps for a 5-foot-8 outfielder. Strong lower half. Athleticism across the board, flies around the basepaths. Not the most optimised physique, still has time to bulk up more. Has a tireless work ethic and competitive drive to get better, lifting weights in the weightroom or getting extra swings in the cage. Showed very impressive instincts and motivation for an 18-year-old in his first pro season.","In part to his hard work and dedication, Clase has made the most of his physical abilities thus far. Don't let his height and weight fool you, he has a solid muscular build that stands out immediately. He's showcased a good hit tool and eye-popping speed to potentially become a top-of-the-order center fielder if he reaches his ceiling. In order to get there, he needs to add more power and refine some things defensively and on the basepaths. There's plenty of room for growth in the teenage speedster, and he can move steadily through the system if his array tools come together.","Open left-handed stance with an overall balanced approach, may lean a bit on his back left leg within his load. Right leg kick, uses some of his lower half to stay with the ball. Strong, high follow through, let's his hands do the work with a fluid stroke to all fields. Lacks elite bat speed and still needs to make consistent contact. Sound approach, waits for his pitch and has good patience. More room for improvement, very young.","Hasn't shown much raw power in first season, but taps into some based upon physical strength and sound approach at the plate. Makes hard contact, just not enough to drive the ball for homers. Has more gap power at the moment, but shown ability to collect some over the fence pop. Has shown the ability to drive the ball the other way. May need to shorten swing, mature physically to fully tap into power potential.","Has makings of above-average fielder with his physical traits. Gets a good jump on the ball with impressive instincts. Times the ball well in the air. Ranges to his left to track the ball. Fluid movements, not much choppiness out there. Makes the occasional mental error, loses the ball or tips off his glove. Good instincts and speed to make a reliable outfielder.",Fringe-average arm that needs improvement. Ball lacks zip and speed to the infield or home plate. Quick movement to get rid of the ball. Throws can be off target at times. Decent arm strength to stay in center field with more time and development.,"Very good speed that makes him a serious threat on the basepaths. Sprints out of the box with long strides and quickness. Makes the most of his smaller size to jump at any opportunity to grab an extra bag. Eye popping quickness that is utilized offensively and defensively. A bit too aggressive to steal bags at times, but profiles a 30-base stealer at the next level",,,,,,,,,,,,,,,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Ljay Newsome,21,Seattle Mariners,SEA,664714,11/8/1996,5-11,210,R/R,2015,Draft - Round 26,2015 Draft - Round 26,On 40-man,RHP,MLB,Nick Stillman,40,40,40 OFP 40 Role,Spot Starter,Low,2020,50FB 40SL 45CH 60Control 50Command,50,,,40,45,,,,,,,60,50,60/50,,,,,,"Short, thick build with a ton of strength in lower half and a barrel chest. Below average athlete. Soft spoken but carries self with the confidence and poise of a veteran and has yet to appear rattled.","A physically limited player maximizing current repertoire with excellent fastball command while lacking a true out pitch. Profiles as a swing man currently but could open up a role as a back-end starter if he can learn a decent cutter or slider to keep hitters off the four-seamer and change. Alternatively, could carve out a future in the bullpen if the change develops more late bite to be a swing and miss pitch. Has shown the ability to make large adjustments in off-season making Newsome's overall projection a bit rosier.",,,,,,"Sits 89-92, t94, spins at ~2100rpm. Nicknamed the GOATball in the minors after improving velocity by 4mph in offseason (thanks to Mariners' ""Gas Camp""). Generated consistent swings and misses up in the zone in AA. Plays up because of ability to locate at the top of the zone, decent ride, and deception in delivery. Not enough velocity to be a true swing and miss pitch at the major league level, though hitters still swing late/underneath more often than velo would indicate.",,"Sits 73-78, spins at ~2000rpm. A get-me over curveball he throws to righties that can flash above-average with some late drop, but sits below average with a tumbling slow break that hitters pick up early. Not currently a swing and miss pitch but locates well enough that more consistency can improve the offering to average.",,"Sits 83-87, spins at ~1700rpm. Best secondary offering with above average vertical break that flashes plus but sits average. Doesn't locate as well as fastball but gets it to the bottom of the zone consistently. Slight fade and above average drop but is not sharp enough to be a true putaway pitch. Can be too hard but arm speed is consistent.",,,,,,,"Quick to the plate with a compact, low-effort delivery, shooting out of a high 3/4th slot with the legs doing most of the work. Attacks from the mound with breakneck pace. Repeats well and maintains average arm speed.","Plus control and above average command, with the ability to hit spots with consistent mechanics. Can locate fastball on the edges and top of the zone and drop the changeup and curve in for low strikes. Command maximizes a below average arsenal.",,,,,http://www.milb.com/images/664714/generic/180x270/664714.jpg
Tyler Keenan,22,Seattle Mariners,SEA,671157,2/27/1999,6-4,250,R/R,2020,Draft - Round 3,2020 Draft - Round 3,2024,3B,R,Joe Doyle,40,40,40 OFP 40 Role,Below Avg. Role Player,Moderate,2023,45Hit 60Power 40Field 50Arm 30Run,,,,,,,,,,,,,,,45,60,40,50,30,"Big, burly-bodied corner infielder with very large lower half and big, strong upper body. Barrel-chested with present strength. Not overweight by any means, but physicality and body will be something to watch as he ages. Body doesn't diminish athleticism entirely.","Keenan will simply sink or swim based on how he can impact a baseball. He'll need to hit for power to reach his big league regular ceiling. He may be able to stick at third base, though he won't be a defensive asset in that regard. Better suited for first base in an org that values defense.","A little bit of swing and miss in an uppercut swing, through strike zone discipline is not much of a concern. It's power over hit right now. Consistent contact on pitches in the zone. His exit velocities should translate into extra base hits. Projects a high-walk, high power output",Definitive power prospect that will sink or swim by his ability to impact the baseball. Generates big pull-side power and gap power with high exit velocities. Uppercut swing generates a lot of fly balls that carry due to raw strength. Could project a 30 home run player if the hit tool allows it.,"Body and lateral mobility will dictate future position. Has good hands and the ability to handle third base. If he slows down, Keenan may be forced to first base or designated hitter. Arm is average and should play fine at third base, but it's doubtful he'll be a defensive asset at any stage.",Good arm action and mechanics though arm strength is not an asset. Arm accuracy has been consistent. Transition out of glove is quick and steady. Average arm ability.,Not a strong runner. Heavy-footed. Lumbering. Not in play on the basepaths. Below average.,,,,,,,,,,,,,,,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Kaden Polcovich,23,Seattle Mariners,SEA,687659,2/21/1999,5-10,185,R/R,2020,Draft - Round 3,2020 Draft - Round 3,2024,2B/CF,R,Joe Doyle,40,40,40 OFP 40 Role,Below Avg. Role Player,High,2023,50Hit 45Power 50Field 40Arm 55Run,,,,,,,,,,,,,,,50,45,50,40,55,"Strong, compact, live-wire build. Stronger lower half. Explosive athleticism in the box; quick twitch actions at the plate. Gritty and a bit of a baseball rat. Can help the team win in a number of ways, including hustle.","Polcovich comes across as the type of player who may get more out of his tools than most expect. He's a spark plug type player that could play in a couple different positions on the field in a utility role. Won't be a huge asset on defense, but may provide some value in a number of ways on offense.","Slightly open, crouched stance with medium-high hands. Covers the plate very well and has a little natural loft in his swing, especially when he goes down and gets balls low and inside. Strong wrists and barrel control allows him to spray the ball all over the field. Has yet to show strikeout tendencies, but hasn't walked a ton.",Smaller frame inhibits the ability to truly charge the ball. Muscled frame and natural loft does help put some impact into the ball. Some hip-shoulder separation in a hyper-athletic frame imposes some more pop. Could hit double-digit home runs.,"Above average fielder in centerfield. A little less reliable at second base, but lateral mobility and athleticism may allow him to play a solid average infield. Arm will always limit his ability to impact the game at both positions, but has the makings of a strong utility cog.","Not a good arm. At second base, it's on target and reliable. In centerfield, it won't be an asset that holds baserunners. Loopy at times from centerfield. Second base arm.","Above average runner that should be able to take some bases thanks to good instincts and experience. Short strides in the outfield limit top speed capability, though he can get to a lot of balls in gaps. Usable tool on the bases.",,,,,,,,,,,,,,lMKU4bgXUIY,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
